Date,Time,Open,High,Low,Close,Volume
20100101,00:00:00,89.774,89.914,89.743,89.778,14300
20100101,01:00:00,89.773,89.925,89.747,89.777,16612
20100101,02:00:00,89.775,89.918,89.740,89.758,1512
20100101,03:00:00,89.770,89.858,89.733,89.766,1216
20100101,04:00:00,89.765,89.928,89.740,89.915,3632
20100101,05:00:00,89.765,89.933,89.753,89.887,5908
20100101,06:00:00,89.915,89.937,89.763,89.904,4896
20100101,07:00:00,89.920,89.940,89.763,89.913,8484
20100101,08:00:00,89.926,89.937,89.762,89.927,11020
20100101,09:00:00,89.918,89.938,89.760,89.899,11848
20100101,10:00:00,89.915,89.925,89.754,89.770,13824
20100101,11:00:00,89.810,89.837,89.760,89.789,13696
20100101,12:00:00,89.817,89.841,89.760,89.815,10912
20100101,13:00:00,89.768,89.933,89.762,89.918,9260
20100101,14:00:00,89.918,89.936,89.765,89.907,11896
20100101,15:00:00,89.906,89.907,89.762,89.784,15544
20100101,16:00:00,89.790,89.941,89.757,89.920,17248
20100101,17:00:00,89.907,89.923,89.749,89.775,18180
20100101,18:00:00,89.775,89.870,89.752,89.768,14256
20100101,19:00:00,89.775,89.801,89.748,89.768,12496
20100101,20:00:00,89.778,89.865,89.751,89.768,7944
20100101,21:00:00,89.780,89.865,89.752,89.775,11508
20100101,22:00:00,89.774,89.863,89.757,89.778,13004
20100101,23:00:00,89.778,89.811,89.754,89.765,12908
20100104,00:00:00,89.642,89.935,89.615,89.755,4332
20100104,01:00:00,89.765,89.830,89.475,89.480,12288
20100104,02:00:00,89.490,89.740,89.385,89.525,25348
20100104,03:00:00,89.520,89.585,89.425,89.465,20472
20100104,04:00:00,89.465,89.560,89.435,89.545,12136
20100104,05:00:00,89.540,89.555,89.310,89.400,10444
20100104,06:00:00,89.405,89.475,89.375,89.400,10440
20100104,07:00:00,89.400,89.675,89.370,89.625,12456
20100104,08:00:00,89.625,89.715,89.500,89.710,20924
20100104,09:00:00,89.705,89.715,89.360,89.535,21360
20100104,10:00:00,89.535,89.660,89.415,89.505,20308
20100104,11:00:00,89.515,89.800,89.465,89.790,21064
20100104,12:00:00,89.790,89.840,89.705,89.775,15020
20100104,13:00:00,89.765,89.880,89.715,89.750,17572
20100104,14:00:00,89.745,89.960,89.730,89.895,17112
20100104,15:00:00,89.890,89.925,89.805,89.850,23732
20100104,16:00:00,89.850,90.020,89.830,89.895,35280
20100104,17:00:00,89.900,89.990,89.600,89.840,31220
20100104,18:00:00,89.840,89.950,89.780,89.900,21776
20100104,19:00:00,89.900,90.055,89.840,90.050,14672
20100104,20:00:00,90.045,90.050,89.930,89.940,9812
20100104,21:00:00,89.935,90.015,89.900,89.940,11564
20100104,22:00:00,89.935,89.950,89.860,89.875,10884
20100104,23:00:00,89.875,89.900,89.780,89.795,4256
20100105,00:00:00,89.800,89.870,89.675,89.700,3192
20100105,01:00:00,89.700,89.890,89.690,89.855,6864
